['rcv', 0, 'SYN', 0, 0, 0]
['snd', 0, 'SYNACK', 0, 0, 1]
['rcv', 0, 'ACK', 1, 0, 1]
['rcv', 0, 'DATA', 1, 300, 1]
['rcv', 0, 'DATA', 301, 300, 1]
['snd', 0, 'ACK', 1, 0, 301]
['snd', 0, 'ACK', 1, 0, 601]
['rcv', 0, 'DATA', 601, 300, 1]
['snd', 0, 'ACK', 1, 0, 901]
['rcv', 0, 'DATA', 901, 300, 1]
['snd', 0, 'ACK', 1, 0, 1201]
['rcv', 0, 'DATA', 1201, 300, 1]
['snd', 0, 'ACK', 1, 0, 1501]
['rcv', 0, 'DATA', 1801, 300, 1]
['snd', 0, 'ACK', 1, 0, 1501]
['rcv', 0, 'DATA', 1501, 300, 1]
['rcv', 0, 'DATA', 1801, 300, 1]
['snd', 0, 'ACK', 1, 0, 2101]
['rcv', 0, 'DATA', 2101, 300, 1]
['snd', 0, 'ACK', 1, 0, 2401]
['rcv', 0, 'DATA', 2401, 300, 1]
['snd', 0, 'ACK', 1, 0, 2701]
['rcv', 0, 'DATA', 2701, 300, 1]
['snd', 0, 'ACK', 1, 0, 3001]
['rcv', 0, 'DATA', 3001, 28, 1]
['snd', 0, 'ACK', 1, 0, 3029]
['rcv', 0, 'FIN', 3029, 0, 1]
['snd', 0, 'ACK', 1, 0, 3030]
['snd', 0, 'FIN', 1, 0, 3030]
['rcv', 0, 'ACK', 3030, 0, 2]
