['snd', 0, 'SYN', 0, 0, 0]
['rcv', 0, 'SYNACK', 0, 0, 1]
['snd', 0, 'ACK', 1, 0, 1]
['drop', 0.0008690357208251953, 'DATA', 1, 300, 1]
['drop', 0.001146078109741211, 'DATA', 301, 300, 1]
['snd', 1.5065009593963623, 'DATA', 1, 300, 1]
['snd', 1.5067429542541504, 'DATA', 301, 300, 1]
['rcv', 1.5072507858276367, 'ACK', 1, 0, 301]
['rcv', 1.5074961185455322, 'ACK', 1, 0, 601]
['snd', 1.5075581073760986, 'DATA', 601, 300, 1]
['snd', 1.5079400539398193, 'DATA', 901, 300, 1]
['rcv', 1.5089929103851318, 'ACK', 1, 0, 901]
['snd', 1.5092170238494873, 'DATA', 1201, 300, 1]
['rcv', 1.5096638202667236, 'ACK', 1, 0, 1201]
['drop', 1.5098609924316406, 'DATA', 1501, 300, 1]
['rcv', 1.5100419521331787, 'ACK', 1, 0, 1501]
['snd', 1.510241985321045, 'DATA', 1801, 300, 1]
['rcv', 1.5106630325317383, 'ACK', 1, 0, 1501]
['snd', 3.0129430294036865, 'DATA', 1501, 300, 1]
['snd', 3.013016939163208, 'DATA', 1801, 300, 1]
['rcv', 3.0135080814361572, 'ACK', 1, 0, 2101]
['snd', 3.013714075088501, 'DATA', 2101, 300, 1]
['rcv', 3.0143258571624756, 'ACK', 1, 0, 2401]
['drop', 3.0144600868225098, 'DATA', 2401, 300, 1]
['snd', 4.514186859130859, 'DATA', 2401, 300, 1]
['rcv', 4.514661073684692, 'ACK', 1, 0, 2701]
['drop', 4.5160439014434814, 'DATA', 2701, 300, 1]
['snd', 6.019559144973755, 'DATA', 2701, 300, 1]
['rcv', 6.020005941390991, 'ACK', 1, 0, 3001]
['drop', 6.020210027694702, 'DATA', 3001, 28, 1]
['snd', 7.5227251052856445, 'DATA', 3001, 28, 1]
['rcv', 7.523432731628418, 'ACK', 1, 0, 3029]
['snd', 7.5236639976501465, 'FIN', 3029, 0, 1]
['rcv', 7.523844003677368, 'ACK', 1, 0, 3030]
['rcv', 9.525605916976929, 'FIN', 1, 0, 3030]
['snd', 9.525868892669678, 'ACK', 3030, 0, 2]
